"","Zip","medIncome","avgIncome","percapIncome","highIncomePct"
"298",44833,43518,60861,25455,0.014
"299",44906,47736,63709,27948,0.028
"300",43944,63828,81318,33400,0.039
"301",44853,70881,76229,30046,0.005
"302",45133,40791,59300,24053,0.022
"303",44310,34556,46731,19343,0.008
"304",45760,37330,55135,22873,0.04
"305",43526,62865,66662,25835,0
"306",45309,62326,82220,34640,0.045
"307",44621,47540,59185,23968,0.005
"308",45377,60405,78159,35214,0.034
"309",44278,76069,86896,35553,0.047
"310",45506,41950,53473,21056,0.015
"311",45238,51398,67004,28063,0.021
"312",44001,70813,84669,34594,0.058
"313",45662,32975,51464,22240,0.022
"314",44116,74657,119482,54102,0.151
"315",44904,62010,76272,32616,0.04
"316",44202,94006,124488,48078,0.141
"317",43942,43519,66393,26430,0.026
"318",44230,68214,81937,34600,0.077
"319",44420,41971,61595,27574,0.031
"320",43906,36486,61750,26006,0.025
"321",43004,77143,97429,37446,0.07
"322",44026,90138,111057,43971,0.083
"323",45895,62798,72530,30124,0.026
"324",43607,28905,40370,18131,0.005
"325",43314,64432,63800,26343,0
"326",44615,56352,67660,27917,0.019
"327",44667,58253,73353,28285,0.034
"328",44428,49247,64746,28912,0.019
"329",43125,64899,76034,31070,0.026
"330",44875,55107,62074,27626,0.014
"331",45769,42982,54795,22389,0.01
"332",45014,60523,76705,31103,0.041
"333",45867,77639,74315,29538,0.008
"334",45404,31303,39032,15362,0
"335",45822,55072,70658,30201,0.026
"336",45123,47716,52601,21569,0
"337",45169,52500,61591,24766,0.008
"338",45011,70520,87888,31347,0.065
"339",44035,46372,58448,25653,0.014
"340",43952,39371,52980,21816,0.015
"341",45304,71680,79871,30153,0.032
"342",43402,45767,63628,28152,0.042
"343",44109,33267,46470,20384,0.01
"344",44017,59375,74781,29509,0.029
"345",45154,63905,69995,26746,0.016
"346",43223,37116,48065,17224,0.008
"347",43155,76875,85977,32954,0.044
"348",44677,52917,66191,26904,0.025
"349",45898,46500,59120,24970,0.022
"350",43950,67715,84654,28788,0.062
"351",44143,63292,90648,41192,0.077
"352",43943,47857,57892,26146,0.01
"353",44314,37089,48660,21899,0.007
"354",45661,38864,64311,24346,0.021
"355",44656,71600,80888,34642,0.03
"356",44105,27470,37266,16367,0.007
"357",45620,38438,55780,23612,0.003
"358",43569,55682,69327,26173,0.01
"359",43215,66000,92448,60674,0.082
"360",44270,52437,65522,26572,0.026
"361",44504,33590,57269,26193,0.042
"362",45390,40990,51810,20661,0
"363",45693,38478,61299,24237,0.034
"364",43724,45154,63678,23460,0.019
"365",45894,69074,78055,29869,0.019
"366",45778,37083,41407,15400,0
"367",45883,81818,101256,34855,0.061
"368",44406,80992,109422,44583,0.095
"369",44402,68258,72646,29260,0.008
"370",45659,33628,49014,18994,0
"371",45860,89597,93211,30641,0.028
"372",45177,51110,68669,28507,0.031
"373",44280,83813,100286,39452,0.069
"374",45359,60185,67408,26238,0.015
"375",45761,35417,57714,28102,0.039
"376",45338,62813,75205,30655,0.019
"377",45652,39667,64064,22336,0.022
"378",44201,71563,83655,30358,0.03
"379",43443,69775,80359,32572,0.043
"380",43832,45391,54715,23702,0.016
"381",45383,54643,61021,26324,0.008
"382",43040,80223,92469,33328,0.058
"383",43903,47050,70348,27798,0.049
"384",44112,22412,35844,17297,0.004
"385",45614,42721,53205,20690,0
"386",45368,55170,66172,26456,0.016
"387",43917,56414,78003,34759,0.047
"388",43718,61959,88145,37080,0.049
"389",44120,39657,68658,32153,0.061
"390",43452,50938,76306,34982,0.052
"391",43910,59565,90092,34555,0.045
"392",44255,54561,68043,27343,0.032
"393",45711,49792,57915,23079,0.007
"394",44638,57639,81350,27400,0.025
"395",44044,74593,92347,28956,0.069
"396",44805,51638,67129,26287,0.032
"397",45640,48846,58464,23477,0.017
"398",44688,55984,76969,33826,0.027
"399",44450,60474,66972,21899,0.014
"400",43701,43326,59402,25437,0.021
"401",44666,74492,85950,34609,0.04
"402",44085,66513,75683,28936,0.011
"403",45692,44809,58022,22143,0.011
"404",43341,69135,81696,34973,0.07
"405",45764,41563,54174,19787,0.009
"406",45858,59167,70608,27918,0.019
"407",44662,60093,75503,28466,0.021
